date,time,id,roadname,fromnode,tonode,len,maxSpeed,speed,ttime,traffic
2025-10-05,15:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,15:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,20,28.0,2
2025-10-05,15:20:00,11,정자로,상록사거리,금곡교사거리,152,50,34,16.0,1
2025-10-05,15:20:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,15:20:00,5,정자로,신기사거리,정든마을사거리,374,50,27,50.0,1
2025-10-05,15:30:00,5,정자로,신기사거리,정든마을사거리,374,50,24,56.0,2
2025-10-05,15:30:00,4,정자로,상록사거리,신기사거리,440,50,27,59.0,1
2025-10-05,15:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,16,126.0,2
2025-10-05,15:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,15:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,42,48.0,2
2025-10-05,15:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,20,28.0,2
2025-10-05,15:30:00,10,정자로,신기사거리,상록사거리,440,50,29,55.0,1
2025-10-05,15:30:00,11,정자로,상록사거리,금곡교사거리,152,50,34,16.0,1
2025-10-05,15:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,15:30:00,8,불정로,불정사거리,계원삼거리,387,50,30,47.0,1
2025-10-05,15:30:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-10-05,15:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,15:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,19,30.0,2
2025-10-05,15:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,15:40:00,5,정자로,신기사거리,정든마을사거리,374,50,17,79.0,2
2025-10-05,15:40:00,10,정자로,신기사거리,상록사거리,440,50,24,66.0,2
2025-10-05,15:40:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-10-05,15:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,47,43.0,2
2025-10-05,15:40:00,4,정자로,상록사거리,신기사거리,440,50,27,59.0,1
2025-10-05,15:40:00,11,정자로,상록사거리,금곡교사거리,152,50,33,17.0,1
2025-10-05,15:40:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,15:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,16,126.0,2
2025-10-05,15:50:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-10-05,15:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,15:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,39,52.0,2
2025-10-05,15:50:00,11,정자로,상록사거리,금곡교사거리,152,50,35,16.0,1
2025-10-05,15:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,16,36.0,2
2025-10-05,15:50:00,9,내정로,계원삼거리,신기사거리,390,30,21,67.0,2
2025-10-05,15:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,24,114.0,2
2025-10-05,15:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,16,126.0,2
2025-10-05,15:50:00,10,정자로,신기사거리,상록사거리,440,50,31,51.0,1
2025-10-05,15:50:00,8,불정로,불정사거리,계원삼거리,387,50,34,41.0,1
2025-10-05,15:50:00,5,정자로,신기사거리,정든마을사거리,374,50,17,79.0,2
2025-10-05,16:00:00,8,불정로,불정사거리,계원삼거리,387,50,38,37.0,1
2025-10-05,16:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,38,53.0,2
2025-10-05,16:00:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-10-05,16:00:00,10,정자로,신기사거리,상록사거리,440,50,24,66.0,2
2025-10-05,16:00:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,16:00:00,5,정자로,신기사거리,정든마을사거리,374,50,13,104.0,3
2025-10-05,16:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,13,44.0,3
2025-10-05,16:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,16,126.0,2
2025-10-05,16:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,16:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,16:10:00,5,정자로,신기사거리,정든마을사거리,374,50,13,104.0,3
2025-10-05,16:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,16:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,12,47.0,3
2025-10-05,16:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,24,114.0,2
2025-10-05,16:10:00,8,불정로,불정사거리,계원삼거리,387,50,38,37.0,1
2025-10-05,16:10:00,10,정자로,신기사거리,상록사거리,440,50,20,79.0,2
2025-10-05,16:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,20,101.0,2
2025-10-05,16:10:00,11,정자로,상록사거리,금곡교사거리,152,50,17,32.0,2
2025-10-05,16:10:00,4,정자로,상록사거리,신기사거리,440,50,30,53.0,1
2025-10-05,16:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,45,45.0,2
2025-10-05,16:10:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,16:20:00,4,정자로,상록사거리,신기사거리,440,50,32,50.0,1
2025-10-05,16:20:00,10,정자로,신기사거리,상록사거리,440,50,20,79.0,2
2025-10-05,16:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,19,144.0,2
2025-10-05,16:20:00,8,불정로,불정사거리,계원삼거리,387,50,28,50.0,1
2025-10-05,16:20:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,16:20:00,11,정자로,상록사거리,금곡교사거리,152,50,23,24.0,2
2025-10-05,16:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,16:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,12,47.0,3
2025-10-05,16:20:00,9,내정로,계원삼거리,신기사거리,390,30,16,88.0,2
2025-10-05,16:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,40,51.0,2
2025-10-05,16:20:00,5,정자로,신기사거리,정든마을사거리,374,50,11,122.0,3
2025-10-05,16:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,20,136.0,2
2025-10-05,16:30:00,10,정자로,신기사거리,상록사거리,440,50,22,72.0,2
2025-10-05,16:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,16:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,12,47.0,3
2025-10-05,16:30:00,4,정자로,상록사거리,신기사거리,440,50,31,51.0,1
2025-10-05,16:30:00,5,정자로,신기사거리,정든마을사거리,374,50,14,96.0,3
2025-10-05,16:30:00,11,정자로,상록사거리,금곡교사거리,152,50,30,18.0,1
2025-10-05,16:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,16:30:00,9,내정로,계원삼거리,신기사거리,390,30,16,88.0,2
2025-10-05,16:30:00,8,불정로,불정사거리,계원삼거리,387,50,33,42.0,1
2025-10-05,16:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,41,49.0,2
2025-10-05,16:40:00,4,정자로,상록사거리,신기사거리,440,50,35,45.0,1
2025-10-05,16:40:00,11,정자로,상록사거리,금곡교사거리,152,50,18,31.0,2
2025-10-05,16:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,23,119.0,2
2025-10-05,16:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,43,47.0,2
2025-10-05,16:40:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-10-05,16:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,16:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,14,41.0,3
2025-10-05,16:40:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,16:50:00,5,정자로,신기사거리,정든마을사거리,374,50,28,48.0,1
2025-10-05,16:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,12,47.0,3
2025-10-05,16:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,32,63.0,2
2025-10-05,16:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,16:50:00,4,정자로,상록사거리,신기사거리,440,50,36,44.0,1
2025-10-05,16:50:00,8,불정로,불정사거리,계원삼거리,387,50,32,44.0,1
2025-10-05,16:50:00,11,정자로,상록사거리,금곡교사거리,152,50,25,22.0,2
2025-10-05,16:50:00,10,정자로,신기사거리,상록사거리,440,50,28,57.0,1
2025-10-05,16:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,28,97.0,1
2025-10-05,16:50:00,9,내정로,계원삼거리,신기사거리,390,30,20,70.0,2
2025-10-05,16:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,22,92.0,2
2025-10-05,17:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,36,56.0,2
2025-10-05,17:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,12,47.0,3
2025-10-05,17:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,17:00:00,10,정자로,신기사거리,상록사거리,440,50,32,50.0,1
2025-10-05,17:00:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,17:00:00,11,정자로,상록사거리,금곡교사거리,152,50,20,28.0,2
2025-10-05,17:00:00,4,정자로,상록사거리,신기사거리,440,50,34,47.0,1
2025-10-05,17:00:00,9,내정로,계원삼거리,신기사거리,390,30,21,67.0,2
2025-10-05,17:00:00,5,정자로,신기사거리,정든마을사거리,374,50,15,90.0,2
2025-10-05,17:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,28,97.0,1
2025-10-05,17:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,22,92.0,2
2025-10-05,17:10:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-10-05,17:10:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-10-05,17:10:00,10,정자로,신기사거리,상록사거리,440,50,21,75.0,2
2025-10-05,17:10:00,8,불정로,불정사거리,계원삼거리,387,50,36,39.0,1
2025-10-05,17:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,17:10:00,4,정자로,상록사거리,신기사거리,440,50,34,47.0,1
2025-10-05,17:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,17:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,34,60.0,2
2025-10-05,17:10:00,11,정자로,상록사거리,금곡교사거리,152,50,19,29.0,2
2025-10-05,17:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,11,52.0,3
2025-10-05,17:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,27,101.0,1
2025-10-05,17:20:00,4,정자로,상록사거리,신기사거리,440,50,36,44.0,1
2025-10-05,17:20:00,8,불정로,불정사거리,계원삼거리,387,50,36,39.0,1
2025-10-05,17:20:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,17:20:00,10,정자로,신기사거리,상록사거리,440,50,21,75.0,2
2025-10-05,17:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,18,112.0,2
2025-10-05,17:20:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,17:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,12,47.0,3
2025-10-05,17:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,24,114.0,2
2025-10-05,17:20:00,11,정자로,상록사거리,금곡교사거리,152,50,25,22.0,2
2025-10-05,17:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,35,58.0,2
2025-10-05,17:20:00,5,정자로,신기사거리,정든마을사거리,374,50,14,96.0,3
2025-10-05,17:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,18,112.0,2
2025-10-05,17:30:00,11,정자로,상록사거리,금곡교사거리,152,50,25,22.0,2
2025-10-05,17:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,17:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,37,55.0,2
2025-10-05,17:30:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-10-05,17:30:00,5,정자로,신기사거리,정든마을사거리,374,50,27,50.0,1
2025-10-05,17:30:00,8,불정로,불정사거리,계원삼거리,387,50,30,47.0,1
2025-10-05,17:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,25,109.0,2
2025-10-05,17:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,15,38.0,2
2025-10-05,17:30:00,10,정자로,신기사거리,상록사거리,440,50,18,88.0,2
2025-10-05,17:30:00,4,정자로,상록사거리,신기사거리,440,50,38,42.0,1
2025-10-05,17:40:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,17:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,18,112.0,2
2025-10-05,17:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,17:40:00,10,정자로,신기사거리,상록사거리,440,50,20,79.0,2
2025-10-05,17:40:00,8,불정로,불정사거리,계원삼거리,387,50,31,45.0,1
2025-10-05,17:40:00,5,정자로,신기사거리,정든마을사거리,374,50,23,59.0,2
2025-10-05,17:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,13,44.0,3
2025-10-05,17:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,37,55.0,2
2025-10-05,17:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,17:40:00,4,정자로,상록사거리,신기사거리,440,50,35,45.0,1
2025-10-05,17:40:00,11,정자로,상록사거리,금곡교사거리,152,50,23,24.0,2
2025-10-05,17:50:00,10,정자로,신기사거리,상록사거리,440,50,32,50.0,1
2025-10-05,17:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-10-05,17:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,17:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,16,126.0,2
2025-10-05,17:50:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,17:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,38,53.0,2
2025-10-05,17:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,28,97.0,1
2025-10-05,17:50:00,9,내정로,계원삼거리,신기사거리,390,30,21,67.0,2
2025-10-05,17:50:00,5,정자로,신기사거리,정든마을사거리,374,50,13,104.0,3
2025-10-05,17:50:00,11,정자로,상록사거리,금곡교사거리,152,50,28,20.0,1
2025-10-05,17:50:00,4,정자로,상록사거리,신기사거리,440,50,39,41.0,1
2025-10-05,18:00:00,9,내정로,계원삼거리,신기사거리,390,30,20,70.0,2
2025-10-05,18:00:00,10,정자로,신기사거리,상록사거리,440,50,30,53.0,1
2025-10-05,18:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,25,109.0,2
2025-10-05,18:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-10-05,18:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,18:00:00,4,정자로,상록사거리,신기사거리,440,50,35,45.0,1
2025-10-05,18:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,20,101.0,2
2025-10-05,18:00:00,11,정자로,상록사거리,금곡교사거리,152,50,24,23.0,2
2025-10-05,18:00:00,5,정자로,신기사거리,정든마을사거리,374,50,11,122.0,3
2025-10-05,18:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,43,47.0,2
2025-10-05,18:00:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,18:10:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,18:10:00,11,정자로,상록사거리,금곡교사거리,152,50,23,24.0,2
2025-10-05,18:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,15,38.0,2
2025-10-05,18:10:00,10,정자로,신기사거리,상록사거리,440,50,35,45.0,1
2025-10-05,18:10:00,4,정자로,상록사거리,신기사거리,440,50,36,44.0,1
2025-10-05,18:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,39,52.0,2
2025-10-05,18:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,18:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,17,119.0,2
2025-10-05,18:10:00,5,정자로,신기사거리,정든마을사거리,374,50,12,112.0,3
2025-10-05,18:10:00,9,내정로,계원삼거리,신기사거리,390,30,15,94.0,2
2025-10-05,18:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,18:20:00,8,불정로,불정사거리,계원삼거리,387,50,33,42.0,1
2025-10-05,18:20:00,11,정자로,상록사거리,금곡교사거리,152,50,25,22.0,2
2025-10-05,18:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,18:20:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,18:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,41,49.0,2
2025-10-05,18:20:00,5,정자로,신기사거리,정든마을사거리,374,50,21,64.0,2
2025-10-05,18:20:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-10-05,18:20:00,10,정자로,신기사거리,상록사거리,440,50,32,50.0,1
2025-10-05,18:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-10-05,18:30:00,9,내정로,계원삼거리,신기사거리,390,30,20,70.0,2
2025-10-05,18:30:00,10,정자로,신기사거리,상록사거리,440,50,26,61.0,1
2025-10-05,18:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-10-05,18:30:00,5,정자로,신기사거리,정든마을사거리,374,50,17,79.0,2
2025-10-05,18:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,18:30:00,4,정자로,상록사거리,신기사거리,440,50,16,99.0,2
2025-10-05,18:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,10,133.0,2
2025-10-05,18:30:00,8,불정로,불정사거리,계원삼거리,387,50,29,48.0,1
2025-10-05,18:30:00,11,정자로,상록사거리,금곡교사거리,152,50,21,26.0,2
2025-10-05,18:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,18:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,38,53.0,2
2025-10-05,18:40:00,11,정자로,상록사거리,금곡교사거리,152,50,31,18.0,1
2025-10-05,18:40:00,8,불정로,불정사거리,계원삼거리,387,50,38,37.0,1
2025-10-05,18:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,18:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,14,41.0,3
2025-10-05,18:40:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,18:40:00,4,정자로,상록사거리,신기사거리,440,50,40,40.0,1
2025-10-05,18:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,40,51.0,2
2025-10-05,18:40:00,10,정자로,신기사거리,상록사거리,440,50,27,59.0,1
2025-10-05,18:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,21,130.0,2
2025-10-05,18:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,10,133.0,2
2025-10-05,18:40:00,5,정자로,신기사거리,정든마을사거리,374,50,24,56.0,2
2025-10-05,18:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,37,55.0,2
2025-10-05,18:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,14,41.0,3
2025-10-05,18:50:00,10,정자로,신기사거리,상록사거리,440,50,29,55.0,1
2025-10-05,18:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,20,101.0,2
2025-10-05,18:50:00,11,정자로,상록사거리,금곡교사거리,152,50,23,24.0,2
2025-10-05,18:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,12,111.0,2
2025-10-05,18:50:00,8,불정로,불정사거리,계원삼거리,387,50,46,30.0,1
2025-10-05,18:50:00,5,정자로,신기사거리,정든마을사거리,374,50,16,84.0,2
2025-10-05,18:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,23,119.0,2
2025-10-05,18:50:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,18:50:00,4,정자로,상록사거리,신기사거리,440,50,34,47.0,1
2025-10-05,19:00:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-10-05,19:00:00,8,불정로,불정사거리,계원삼거리,387,50,40,35.0,1
2025-10-05,19:00:00,10,정자로,신기사거리,상록사거리,440,50,35,45.0,1
2025-10-05,19:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,21,130.0,2
2025-10-05,19:00:00,5,정자로,신기사거리,정든마을사거리,374,50,11,122.0,3
2025-10-05,19:00:00,4,정자로,상록사거리,신기사거리,440,50,33,48.0,1
2025-10-05,19:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,19:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-05,19:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,43,47.0,2
2025-10-05,19:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,12,47.0,3
2025-10-05,19:00:00,11,정자로,상록사거리,금곡교사거리,152,50,31,18.0,1
2025-10-05,19:10:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,19:10:00,8,불정로,불정사거리,계원삼거리,387,50,41,34.0,1
2025-10-05,19:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,13,44.0,3
2025-10-05,19:10:00,5,정자로,신기사거리,정든마을사거리,374,50,11,122.0,3
2025-10-05,19:10:00,10,정자로,신기사거리,상록사거리,440,50,29,55.0,1
2025-10-05,19:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,19:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,19:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,20,136.0,2
2025-10-05,19:10:00,4,정자로,상록사거리,신기사거리,440,50,33,48.0,1
2025-10-05,19:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,44,46.0,2
2025-10-05,19:10:00,11,정자로,상록사거리,금곡교사거리,152,50,31,18.0,1
2025-10-05,19:20:00,11,정자로,상록사거리,금곡교사거리,152,50,31,18.0,1
2025-10-05,19:20:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,19:20:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-10-05,19:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,13,44.0,3
2025-10-05,19:20:00,5,정자로,신기사거리,정든마을사거리,374,50,26,52.0,1
2025-10-05,19:20:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,19:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,19:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,40,51.0,2
2025-10-05,19:20:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,19:20:00,10,정자로,신기사거리,상록사거리,440,50,24,66.0,2
2025-10-05,19:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,22,124.0,2
2025-10-05,19:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,24,114.0,2
2025-10-05,19:30:00,10,정자로,신기사거리,상록사거리,440,50,22,72.0,2
2025-10-05,19:30:00,9,내정로,계원삼거리,신기사거리,390,30,24,59.0,2
2025-10-05,19:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,14,41.0,3
2025-10-05,19:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,19:30:00,5,정자로,신기사거리,정든마을사거리,374,50,31,43.0,1
2025-10-05,19:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,19:30:00,11,정자로,상록사거리,금곡교사거리,152,50,31,18.0,1
2025-10-05,19:30:00,4,정자로,상록사거리,신기사거리,440,50,35,45.0,1
2025-10-05,19:30:00,8,불정로,불정사거리,계원삼거리,387,50,39,36.0,1
2025-10-05,19:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,36,56.0,2
2025-10-05,19:40:00,8,불정로,불정사거리,계원삼거리,387,50,40,35.0,1
2025-10-05,19:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,14,41.0,3
2025-10-05,19:40:00,11,정자로,상록사거리,금곡교사거리,152,50,31,18.0,1
2025-10-05,19:40:00,4,정자로,상록사거리,신기사거리,440,50,34,47.0,1
2025-10-05,19:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,19:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,19,106.0,2
2025-10-05,19:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,36,56.0,2
2025-10-05,19:40:00,10,정자로,신기사거리,상록사거리,440,50,25,63.0,2
2025-10-05,19:40:00,5,정자로,신기사거리,정든마을사거리,374,50,23,59.0,2
2025-10-05,19:40:00,9,내정로,계원삼거리,신기사거리,390,30,20,70.0,2
2025-10-05,19:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,27,101.0,1
2025-10-05,19:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,12,111.0,2
2025-10-05,19:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,35,58.0,2
2025-10-05,19:50:00,10,정자로,신기사거리,상록사거리,440,50,26,61.0,1
2025-10-05,19:50:00,8,불정로,불정사거리,계원삼거리,387,50,38,37.0,1
2025-10-05,19:50:00,11,정자로,상록사거리,금곡교사거리,152,50,27,20.0,1
2025-10-05,19:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-05,19:50:00,4,정자로,상록사거리,신기사거리,440,50,26,61.0,1
2025-10-05,19:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,24,114.0,2
2025-10-05,19:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,14,41.0,3
2025-10-05,19:50:00,5,정자로,신기사거리,정든마을사거리,374,50,21,64.0,2
2025-10-05,19:50:00,9,내정로,계원삼거리,신기사거리,390,30,20,70.0,2
2025-10-05,20:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,37,55.0,2
2025-10-05,20:00:00,11,정자로,상록사거리,금곡교사거리,152,50,31,18.0,1
2025-10-05,20:00:00,4,정자로,상록사거리,신기사거리,440,50,31,51.0,1
2025-10-05,20:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,20:10:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,20:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,19,144.0,2
2025-10-05,20:10:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-10-05,20:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,21,130.0,2
2025-10-05,20:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,40,51.0,2
2025-10-05,20:20:00,11,정자로,상록사거리,금곡교사거리,152,50,22,25.0,2
2025-10-05,20:30:00,4,정자로,상록사거리,신기사거리,440,50,35,45.0,1
